Label,Audio_Name,Mean,Median,Std_Deviation,Zero_Crossing_Rate,Energy,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Chroma,MFCCs
disgust,YAF_chief_disgust,-2.20E-05,-0.000180804,0.022747472,0.232713052,0.017588468,3447.960816,2174.962231,5621.252553,0.3913356,-30.599363
disgust,YAF_chain_disgust,-1.80E-05,-0.000349769,0.02086651,0.20723877,0.015964253,3139.689603,2052.783771,4998.484497,0.3427452,-30.325106
disgust,YAF_base_disgust,-2.12E-05,-0.000203062,0.022052696,0.246661325,0.017039476,3609.513207,2183.848242,5606.822791,0.3486495,-30.605677
disgust,YAF_ditch_disgust,-2.41E-05,-0.000102735,0.02026186,0.196533203,0.015652329,3202.293486,2061.560496,5041.901634,0.36522382,-30.454414
disgust,YAF_germ_disgust,-1.83E-05,-0.000353416,0.025729014,0.192057292,0.020146148,2898.874228,1902.174869,4483.722888,0.3210737,-30.06813
disgust,YAF_fail_disgust,-1.11E-05,-0.000534569,0.030994724,0.214169922,0.024828233,2975.595945,2007.362995,4739.888672,0.34850606,-29.107056
disgust,YAF_bath_disgust,-1.40E-05,-0.000219806,0.0284264,0.160229953,0.022200162,2686.912986,2061.888131,4567.88307,0.3701168,-28.233875
disgust,YAF_gap_disgust,-1.56E-05,-0.000138276,0.038933106,0.163748605,0.030830175,2760.689309,1993.945766,4513.07373,0.36962515,-28.476477
disgust,YAF_goose_disgust,-2.12E-05,-0.000104063,0.035214182,0.245976039,0.02638847,3609.059315,2139.961378,5604.881287,0.33565897,-31.288559
disgust,YAF_cheek_disgust,-2.16E-05,-0.000173185,0.020887842,0.221675328,0.015482141,3365.200831,2125.060655,5327.833557,0.38738427,-30.546553
disgust,YAF_beg_disgust,-2.23E-05,-0.000155741,0.022856012,0.167275565,0.017151162,2917.531892,2198.310139,4980.130005,0.38140878,-29.615974
disgust,YAF_dab_disgust,-1.59E-05,-0.000111274,0.027608706,0.158834205,0.021540616,2770.322858,2079.285934,4633.904684,0.35496137,-30.090977
disgust,YAF_bite_disgust,-2.57E-05,-0.000187621,0.02887085,0.213575176,0.021291003,3311.509239,2207.008161,5303.923483,0.3933524,-29.337826
disgust,YAF_hall_disgust,-2.01E-05,-0.000448371,0.034849957,0.151963976,0.02584575,2513.015471,1942.730267,4184.51945,0.35104793,-27.601149
disgust,YAF_burn_disgust,-2.25E-05,-0.000262516,0.03065971,0.140539425,0.024248416,2394.950081,1934.444012,3965.994231,0.34949613,-27.557646
disgust,YAF_half_disgust,-2.09E-05,-0.000274123,0.02981783,0.231698666,0.022271309,3174.238677,1972.266676,4929.681512,0.39221552,-29.221886
disgust,YAF_back_disgust,-2.06E-05,-0.000133877,0.028261617,0.169179879,0.022477431,2793.849572,2072.74424,4550.789149,0.36826748,-28.3787
disgust,YAF_dip_disgust,-1.26E-05,-0.00014902,0.021056416,0.148685924,0.015320086,2869.283623,2236.368266,5058.98052,0.42232597,-29.960075
disgust,YAF_deep_disgust,-6.04E-06,-0.000176561,0.02727793,0.145816443,0.021280473,2765.757893,2149.233257,4740.148695,0.4078465,-29.417334
disgust,YAF_choice_disgust,-1.93E-05,-0.000148108,0.031681623,0.292278885,0.024545716,3759.379215,1999.145801,5487.114527,0.35301116,-27.405373
disgust,YAF_boat_disgust,-1.32E-05,-0.000155111,0.029923217,0.203671875,0.02299788,3079.591423,2001.032454,4772.511475,0.34954688,-28.633188
disgust,YAF_dodge_disgust,-2.03E-05,-0.000103777,0.023537133,0.195787818,0.01749998,3099.056393,2067.088895,5038.102574,0.3779655,-31.23884
disgust,YAF_haze_disgust,-1.63E-05,-0.000292066,0.030719856,0.216742114,0.023318015,3319.04018,2158.09411,5273.219827,0.3374979,-27.916986
